                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                0.34017,                0.25592,                0.83517,                 0.8761,                0.87441,                0.92569,                0.78205,                  0.631,                0.43321,                0.99632,               0.006634,               0.006634,               0.006634
                    138,                0.33731,                0.25801,                0.82781,                0.90163,                0.85308,                0.92521,                0.76582,                0.63456,                0.45671,                 1.0104,              0.0066092,              0.0066092,              0.0066092
                    139,                0.33734,                0.24986,                 0.8281,                0.88423,                0.88687,                0.93253,                  0.777,                0.64053,                0.45281,                 1.0006,              0.0065845,              0.0065845,              0.0065845
                    140,                0.33831,                0.25356,                0.82604,                0.89419,                 0.8436,                0.91533,                 0.7865,                0.62855,                0.47638,                0.99503,              0.0065598,              0.0065598,              0.0065598
                    141,                0.33383,                0.24832,                 0.8254,                0.89108,                0.87236,                0.92031,                0.77379,                0.62395,                0.47169,                0.98431,               0.006535,               0.006535,               0.006535
                    142,                0.33073,                0.24599,                0.82034,                0.88387,                0.90175,                0.92373,                0.77272,                0.62852,                0.44622,                0.98952,              0.0065102,              0.0065102,              0.0065102
                    143,                 0.3378,                 0.2528,                0.82401,                0.88044,                0.88996,                0.90647,                0.75374,                0.62713,                0.44932,                0.99572,              0.0064855,              0.0064855,              0.0064855
                    144,                0.33718,                0.24826,                0.82658,                 0.8844,                0.85204,                0.89276,                0.74247,                0.63208,                0.48002,                 1.0002,              0.0064608,              0.0064608,              0.0064608
                    145,                0.32355,                0.24469,                0.82617,                0.90052,                0.85803,                 0.8996,                0.73973,                0.65111,                0.47334,                 1.0184,               0.006436,               0.006436,               0.006436
                    146,                0.33646,                0.25043,                 0.8312,                0.87297,                0.89565,                0.91209,                0.74862,                0.63766,                0.44768,                 1.0074,              0.0064112,              0.0064112,              0.0064112
                    147,                0.33482,                 0.2477,                0.82277,                0.90991,                0.84834,                0.91457,                0.76296,                0.65415,                0.43883,                 1.0134,              0.0063865,              0.0063865,              0.0063865
                    148,                0.33512,                0.25159,                0.82712,                0.90477,                0.85545,                0.91185,                0.75976,                0.65976,                0.42877,                 1.0146,              0.0063618,              0.0063618,              0.0063618
                    149,                0.33516,                0.25105,                0.82819,                0.88811,                0.86517,                0.91008,                0.75484,                0.64036,                0.44766,                 1.0032,               0.006337,               0.006337,               0.006337
                    150,                0.33215,                0.24917,                0.82928,                0.88236,                0.87087,                0.90592,                0.74879,                0.64728,                0.45749,                0.99003,              0.0063122,              0.0063122,              0.0063122
                    151,                0.33041,                0.25078,                0.83218,                0.91242,                0.82938,                0.88922,                0.75244,                0.63207,                0.49671,                0.98637,              0.0062875,              0.0062875,              0.0062875
                    152,                0.32921,                 0.2483,                 0.8252,                0.87438,                0.85768,                0.90927,                0.77105,                0.63757,                0.44798,                0.98896,              0.0062628,              0.0062628,              0.0062628
                    153,                0.32271,                0.24626,                0.82527,                0.86075,                0.86256,                0.89908,                0.74662,                0.64769,                0.45212,                 1.0154,               0.006238,               0.006238,               0.006238
                    154,                0.33149,                0.25609,                0.82761,                 0.8662,                0.87915,                0.91135,                0.76455,                0.65438,                0.44979,                 1.0138,              0.0062132,              0.0062132,              0.0062132
                    155,                0.33248,                0.24844,                0.82742,                0.88724,                0.82464,                0.89097,                0.73609,                0.64228,                0.48015,                 1.0219,              0.0061885,              0.0061885,              0.0061885
                    156,                0.32041,                0.24642,                0.82456,                0.87411,                0.83915,                0.89946,                0.72755,                0.66631,                0.48788,                 1.0413,              0.0061637,              0.0061637,              0.0061637
                    157,                0.32913,                 0.2515,                0.82679,                0.91558,                0.80332,                0.90401,                0.75941,                0.64204,                0.48923,                 1.0081,               0.006139,               0.006139,               0.006139
